index,restaurant,category,name,price
0,Ralli's,Recommended,Khus,71
1,Ralli's,Recommended,Virgin Mojito,71
2,Ralli's,Recommended,Blue Lagoon,71
3,Ralli's,Recommended,Green Apple Mojito,71
4,Ralli's,Recommended,Candid Orange,71
5,Ralli's,Recommended,Mango Mint  (Kerry Pudina),71
6,Ralli's,Recommended,Icey Strawberry,71
7,Ralli's,Recommended,Chocolate Hazelnut Milkshake,101
8,Ralli's,Recommended,Coffee Milkshake,101
9,Ralli's,Recommended,Paan Blast Milkshake,121
10,Ralli's,Recommended,Chocolate KitKat Thick Shake,121
11,Ralli's,Recommended,Oreo Menthe,121
12,Ralli's,Recommended,Rose Garden Red Shake,121
13,Ralli's,Recommended,Strawberry Fills,121
14,Ralli's,Recommended,Mango Fills,121
15,Ralli's,Recommended,Pineapple Fills,121
16,Ralli's,Coolers,Rose Garden,71
17,Ralli's,Coolers,Khus,71
18,Ralli's,Coolers,Jasmine,71
19,Ralli's,Coolers,Virgin Mojito,71
20,Ralli's,Coolers,Blue Lagoon,71
21,Ralli's,Fruit Coolers,Green Apple Mojito,71
22,Ralli's,Fruit Coolers,Candid Orange,71
23,Ralli's,Fruit Coolers,Pineapple Signature,71
24,Ralli's,Fruit Coolers,Tangy Mango,71
25,Ralli's,Fruit Coolers,Mango Blast,71
26,Ralli's,Fruit Coolers,Mango Mint  (Kerry Pudina),71
27,Ralli's,Fruit Coolers,Icey Strawberry,71
28,Ralli's,Fruit Coolers,Lychee Delight,71
29,Ralli's,Fruit Coolers,Guava Punch,71
30,Ralli's,Fruit Coolers,Ginger Lemon,71
31,Ralli's,Fruit Coolers,Sweet & Sour,71
32,Ralli's,Milkshakes,Rose Garden Milkshake,101
33,Ralli's,Milkshakes,Orange Milkshake,101
34,Ralli's,Milkshakes,Pineapple Milkshake,101
35,Ralli's,Milkshakes,Mango Milkshake,101
36,Ralli's,Milkshakes,Vanilla Milkshake,101
37,Ralli's,Milkshakes,Butterscotch Milkshake,101
38,Ralli's,Milkshakes,Bubble Gum Milkshake,101
39,Ralli's,Milkshakes,Chocolate Hazelnut Milkshake,101
40,Ralli's,Milkshakes,Coffee Milkshake,101
41,Ralli's,Indian Style Milkshake,Kesar Milkshake,121
42,Ralli's,Indian Style Milkshake,Thandai Milkshake,121
43,Ralli's,Indian Style Milkshake,Kesar Badam Milkshake,121
44,Ralli's,Indian Style Milkshake,Kesar Pista Milkshake,121
45,Ralli's,Indian Style Milkshake,Mixed Dry Fruit Milkshake,121
46,Ralli's,Indian Style Milkshake,Paan Blast Milkshake,121
47,Ralli's,Thick Shakes,Chocolate KitKat Thick Shake,121
48,Ralli's,Thick Shakes,Oreo Menthe,121
49,Ralli's,Low Calorie Shakes,Rose Garden Red Shake,121
50,Ralli's,Low Calorie Shakes,Kesar Badam Shake,141
51,Ralli's,Fruit Filled Shakes,Blackcurrant Fills,121
52,Ralli's,Fruit Filled Shakes,Blueberry Fills,121
53,Ralli's,Fruit Filled Shakes,Strawberry Fills,121
54,Ralli's,Fruit Filled Shakes,Mango Fills,121
55,Ralli's,Fruit Filled Shakes,Litchi Fills,121
56,Ralli's,Fruit Filled Shakes,Banana Fills,121
57,Ralli's,Fruit Filled Shakes,Raspberry Fills,121
58,Ralli's,Fruit Filled Shakes,Kiwi Fills,121
59,Ralli's,Fruit Filled Shakes,Mixed Fruit Fills,121
60,Ralli's,Fruit Filled Shakes,Pineapple Fills,121
61,Dayal South Indian Corner,Recommended,Idli (2 Pcs),30
62,Dayal South Indian Corner,Recommended,Idli Fry,40
63,Dayal South Indian Corner,Recommended,Masala Idli,40
64,Dayal South Indian Corner,Recommended,Vada (2 Pcs),30
65,Dayal South Indian Corner,Recommended,Dahi Vada,40
66,Dayal South Indian Corner,Recommended,Onion Uttapam,60
67,Dayal South Indian Corner,Recommended,Tomato Uttapam,60
68,Dayal South Indian Corner,Recommended,Masala Uttapam,70
69,Dayal South Indian Corner,Recommended,Cheese Masala Uttapam,80
70,Dayal South Indian Corner,Recommended,Butter Masala Uttapam,80
71,Dayal South Indian Corner,Recommended,Plain Dosa,40
72,Dayal South Indian Corner,Recommended,Onion Plain Dosa,45
73,Dayal South Indian Corner,Recommended,Butter Plain Dosa,50
74,Dayal South Indian Corner,Recommended,Cheese Plain Dosa,50
75,Dayal South Indian Corner,Recommended,Paper Plain Dosa,40
76,Dayal South Indian Corner,Recommended,Onion Paper Plain Dosa,45
77,Dayal South Indian Corner,Recommended,Butter Paper Plain Dosa,55
78,Dayal South Indian Corner,Recommended,Cheese Paper Plain Dosa,55
79,Dayal South Indian Corner,Recommended,Cheese Paper Masala Dosa,65
80,Dayal South Indian Corner,Recommended,Cheese Masala Dosa,60
81,Dayal South Indian Corner,Idli & Vada,Idli (2 Pcs),30
82,Dayal South Indian Corner,Idli & Vada,Idli Fry,40
83,Dayal South Indian Corner,Idli & Vada,Masala Idli,40
84,Dayal South Indian Corner,Idli & Vada,Vada (2 Pcs),30
85,Dayal South Indian Corner,Idli & Vada,Dahi Vada,40
86,Dayal South Indian Corner,Uttapam,Onion Uttapam,60
87,Dayal South Indian Corner,Uttapam,Tomato Uttapam,60
88,Dayal South Indian Corner,Uttapam,Masala Uttapam,70
89,Dayal South Indian Corner,Uttapam,Cheese Masala Uttapam,80
90,Dayal South Indian Corner,Uttapam,Butter Masala Uttapam,80
91,Dayal South Indian Corner,Dosas,Plain Dosa,40
92,Dayal South Indian Corner,Dosas,Onion Plain Dosa,45
93,Dayal South Indian Corner,Dosas,Butter Plain Dosa,50
94,Dayal South Indian Corner,Dosas,Cheese Plain Dosa,50
95,Dayal South Indian Corner,Dosas,Paper Plain Dosa,40
96,Dayal South Indian Corner,Dosas,Onion Paper Plain Dosa,45
97,Dayal South Indian Corner,Dosas,Butter Paper Plain Dosa,55
98,Dayal South Indian Corner,Dosas,Cheese Paper Plain Dosa,55
99,Dayal South Indian Corner,Dosas,Butter Paper Masala Dosa,65
100,Dayal South Indian Corner,Dosas,Cheese Paper Masala Dosa,65
101,Dayal South Indian Corner,Dosas,Masala Dosa,50
102,Dayal South Indian Corner,Dosas,Onion Masala Dosa,55
103,Dayal South Indian Corner,Dosas,Butter Masala Dosa,60
104,Dayal South Indian Corner,Dosas,Cheese Masala Dosa,60
105,Dayal South Indian Corner,Dosas,Onion Butter Masala Dosa,65
106,Dayal South Indian Corner,Dosas,Cheese Butter Masala Dosa,65
107,Dayal South Indian Corner,Toasts,Butter Toast,30
108,Dayal South Indian Corner,Toasts,Cheese Toast,45
109,Dayal South Indian Corner,Toasts,Butter Cheese Toast,60
110,Dayal South Indian Corner,Plain Sandwiches,Veg Plain Sandwich,35
111,Dayal South Indian Corner,Plain Sandwiches,Veg Cheese Plain Sandwich,50
112,Dayal South Indian Corner,Plain Sandwiches,Veg Club Plain Sandwich,60
113,Dayal South Indian Corner,Grilled Sandwiches,Veg Grilled Sandwich,40
114,Dayal South Indian Corner,Grilled Sandwiches,Veg Cheese Grilled Sandwich,55
115,Dayal South Indian Corner,Grilled Sandwiches,Veg Butter Grilled Sandwich,55
116,Dayal South Indian Corner,Grilled Sandwiches,Veg Butter Cheese Grilled Sandwich,70
117,Dayal South Indian Corner,Grilled Sandwiches,Special Masala Grilled Sandwich,60
118,Dayal South Indian Corner,Grilled Sandwiches,Veg Paneer Grilled Sandwich,70
119,Dayal South Indian Corner,Grilled Sandwiches,Special Masala Cheese Grilled Sandwich,75
120,Dayal South Indian Corner,Grilled Sandwiches,Cheese Corn Grilled Sandwich,75
121,Dayal South Indian Corner,Grilled Sandwiches,Veg Club Grilled Sandwich,80
122,Dayal South Indian Corner,Grilled Sandwiches,Veg Club Cheese Grilled Dandwich,90
123,Dayal South Indian Corner,Grilled Sandwiches,Special Club Cheese Masala Sandwich,100
124,Gangotri Shree,Recommended,Veg Manchow Soup,90
125,Gangotri Shree,Recommended,Idli,50
126,Gangotri Shree,Recommended,Masala Dosa,75
127,Gangotri Shree,Recommended,Paneer Tikka (6 Pcs),160
128,Gangotri Shree,Recommended,Jain Paneer Jalpuria,160
129,Gangotri Shree,Recommended,Jain Paneer Butter Masala,160
130,Gangotri Shree,Recommended,Jain Malai Kofta,150
131,Gangotri Shree,Recommended,Paneer Tikka Butter Masala,170
132,Gangotri Shree,Recommended,Dal Makhani (Black Dal),145
133,Gangotri Shree,Recommended,Veg Pulao,145
134,Gangotri Shree,Recommended,Butter Naan,53
135,Gangotri Shree,Recommended,Masala Kulcha,53
136,Gangotri Shree,Recommended,Butter Tandoori Roti,43
137,Gangotri Shree,Recommended,Crunchy Crispy Baby corn,165
138,Gangotri Shree,Recommended,Veg Manchurian,130
139,Gangotri Shree,Recommended,Veg Fried Rice,130
140,Gangotri Shree,Recommended,Veg Hakka Noodles,95
141,Gangotri Shree,Recommended,Pav Bhaji,110
142,Gangotri Shree,Recommended,Gulab Jamun (2Pcs),48
143,Gangotri Shree,Recommended,Kaju Barfi (4Pcs),85
144,Gangotri Shree,Soups,Tomato Soup Cream Style,90
145,Gangotri Shree,Soups,Sweet corn with Veg Soup,90
146,Gangotri Shree,Soups,Veg Manchow Soup,90
147,Gangotri Shree,Soups,Veg Hot & Sour Soup,90
148,Gangotri Shree,Soups,Mushroom Hot & Sour Soup,90
149,Gangotri Shree,South Indian,Idli,50
150,Gangotri Shree,South Indian,Fried Idli,60
151,Gangotri Shree,South Indian,Butter Idli,65
152,Gangotri Shree,South Indian,Sambar Idli,55
153,Gangotri Shree,South Indian,Gangotri Special Idli,75
154,Gangotri Shree,South Indian,Sada Dosa,65
155,Gangotri Shree,South Indian,Sada Dosa with Choice of 1 Topping,75
156,Gangotri Shree,South Indian,Sada Dosa with Choice of 2 Toppings,85
157,Gangotri Shree,South Indian,Dhaniya Plain Dosa,65
158,Gangotri Shree,South Indian,Masala Dosa,75
159,Gangotri Shree,South Indian,Masala Dosa with Choice of 1 Topping,85
160,Gangotri Shree,South Indian,Masala Dosa with Choice of 2 Toppings,100
