index,name,category,rating,price_fortwo,link
0,Ralli's,Beverages,4.7,100,https://swiggy.com/kolkata/rallis-howrah-ac-howrah
1,Dayal South Indian Corner,"South Indian, Snacks",4.0,150,https://swiggy.com/kolkata/dayal-south-indian-corner-chintamoni-dey-road-howrah
2,Gangotri Shree,"North Indian, South Indian, Tandoor, Sweets, Snacks",4.1,200,https://swiggy.com/kolkata/gangotri-liluah-sanitytestarea
3,Machaan,North Indian,4.2,1200,https://swiggy.com/kolkata/machaan-shibpur-sanitytestarea
4,Coffee world,Fast Food,4.2,400,https://swiggy.com/kolkata/coffee-world-liluah-howrah
5,Table No. 13,Fast Food,--,250,https://swiggy.com/kolkata/table-no-13-dobson-road-howrah
6,Bachelor's Kitchen,North Indian,3.7,150,https://swiggy.com/kolkata/bachelors-kitchen-dobson-road-howrah
7,Sitaram's,"Indian, Desserts",3.9,150,https://swiggy.com/kolkata/sitarams-howrah-station-area-howrah
8,Archit Tandoor House,"Chinese, Fast Food",3.8,200,https://swiggy.com/kolkata/archit-tandoor-house-shibpur-howrah
9,Wrappers,"Chinese, Fast Food",3.9,150,https://swiggy.com/kolkata/wrappers-shibpur-howrah
10,Appetour and Frootica - natural ice cream,"Desserts, Beverages, Fast Food",4.0,250,https://swiggy.com/kolkata/appetour-and-frootica-natural-ice-cream-howrah-howrah
11,Pizza Hut,Fast Food,4.0,750,https://swiggy.com/kolkata/pizza-hut-banarjee-ghat-road-howrah
12,Bawarchi Food & More,"Indian, Chinese, Mughlai",4.1,200,https://swiggy.com/kolkata/bawarchi-food-more-kadamtala-howrah
13,Cafe Coffee Day,Fast Food,3.6,250,https://swiggy.com/kolkata/cafe-coffee-day-32-jagat-bannejee-howrah
14,Khana Khazana,"Indian, Chinese, Tandoor",4.1,500,https://swiggy.com/kolkata/khana-khazana-dobson-road-howrah
15,Raasta Cafe - Howrah AC Market,"Italian, Continental",4.0,250,https://swiggy.com/kolkata/raasta-cafe-dobson-road-howrah
16,Arihant's Naturals,"Desserts, Beverages",4.1,100,https://swiggy.com/kolkata/arihant-naturals-dobson-road-howrah
17,Ganpati Food Plaza,"North Indian, Rajasthani",3.9,200,https://swiggy.com/kolkata/ganpati-food-plaza-howrah-station-area-howrah
18,Dakshin,"South Indian, Chinese",4.1,200,https://swiggy.com/kolkata/dakshin-salkia-howrah
19,Krishna Bhog,Fast Food,4.0,100,https://swiggy.com/kolkata/krishna-bhog-dobson-road-howrah
20,Swagat,"North Indian, Fast Food, Chinese",3.8,200,https://swiggy.com/kolkata/swagat-school-road-howrah
21,Kandy Crush,"Ice Cream, Desserts",4.6,200,https://swiggy.com/kolkata/kandy-crush-dobson-road-howrah
22,Mitra Cafe,"Bengali, Fast Food",4.2,350,https://swiggy.com/kolkata/mitra-cafe-arobindo-mall-howrah
23,KFC,Fast Food,4.2,450,https://swiggy.com/kolkata/kfc-forum-rangoli-mall-howrah
24,Cake Goals,Desserts,--,300,https://swiggy.com/kolkata/cake-goals-shibpur-sanitytestarea
25,Yarrowz,"Italian, Indian, Chinese, American, Biryani",3.6,200,https://swiggy.com/kolkata/yarrowz-howrah-howrah
26,Sizzfire,"Italian, Mexican, Continental",--,300,https://swiggy.com/kolkata/sizzfire-salkia-howrah
27,Sitaram's Sweets,Desserts,4.0,100,https://swiggy.com/kolkata/sitarams-sweets-howrah-station-area-howrah
28,Mio Amore,Bakery,4.2,150,https://swiggy.com/kolkata/mio-amore-salkia-howrah
